,Name,Sex,Age,Height,Weight,Team,Games,Year,Sport,Event,Medal
20121,"Pamela Howard ""Pam"" Shriver (-Shapiro, -Lazenby)",F,26.0,183.0,70.0,United States,1988 Summer,1988,Tennis,Tennis Women's Doubles,Gold
20122,Margarita Shtarkelova,F,25.0,177.0,73.0,Bulgaria,1976 Summer,1976,Basketball,Basketball Women's Basketball,Bronze
20123,Simeon Atanasov Shterev,M,29.0,166.0,66.0,Bulgaria,1988 Summer,1988,Wrestling,"Wrestling Men's Featherweight, Freestyle",Bronze
20124,Nikolina Pavlova Shtereva,F,21.0,172.0,59.0,Bulgaria,1976 Summer,1976,Athletics,Athletics Women's 800 metres,Silver
20125,Ilya Anatolyevich Shtokalov,M,29.0,185.0,95.0,Russia,2016 Summer,2016,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",Bronze
20126,Ivan Aleksandrovich Shtyl,M,26.0,180.0,86.0,Russia,2012 Summer,2012,Canoeing,"Canoeing Men's Canadian Singles, 200 metres",Bronze
20127,Olga Aleksandrovna Shtyrenko,F,19.0,172.0,47.0,Russia,1996 Summer,1996,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Bronze
20128,Lyudmila Yegorovna Shubina,F,27.0,166.0,66.0,Soviet Union,1976 Summer,1976,Handball,Handball Women's Handball,Gold
20129,Mariya Timofeyevna Shubina,F,30.0,167.0,65.0,Soviet Union,1960 Summer,1960,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Gold
20130,Shui Qingxia,F,29.0,167.0,62.0,China,1996 Summer,1996,Football,Football Women's Football,Silver
20131,Boris Khabalovich Shukhov,M,25.0,176.0,72.0,Soviet Union,1972 Summer,1972,Cycling,Cycling Men's 100 kilometres Team Time Trial,Gold
20132,Igor Yuryevich Shulepov,M,27.0,203.0,94.0,Russia,2000 Summer,2000,Volleyball,Volleyball Men's Volleyball,Silver
20133,Aleksey Vasilyevich Shumakov,M,27.0,152.0,48.0,Soviet Union,1976 Summer,1976,Wrestling,"Wrestling Men's Light-Flyweight, Greco-Roman",Gold
20134,Yury Stepanovich Shurkalov,M,26.0,195.0,90.0,Soviet Union,1976 Summer,1976,Rowing,Rowing Men's Coxed Pairs,Silver
20135,Mariya Vladimirovna Shurochkina,F,21.0,164.0,48.0,Russia,2016 Summer,2016,Synchronized Swimming,Synchronized Swimming Women's Team,Gold
20136,Yelena Lvovna Shushunova,F,19.0,147.0,41.0,Soviet Union,1988 Summer,1988,Gymnastics,Gymnastics Women's Individual All-Around,Gold
20137,Yelena Lvovna Shushunova,F,19.0,147.0,41.0,Soviet Union,1988 Summer,1988,Gymnastics,Gymnastics Women's Team All-Around,Gold
20138,Yelena Lvovna Shushunova,F,19.0,147.0,41.0,Soviet Union,1988 Summer,1988,Gymnastics,Gymnastics Women's Uneven Bars,Bronze
20139,Yelena Lvovna Shushunova,F,19.0,147.0,41.0,Soviet Union,1988 Summer,1988,Gymnastics,Gymnastics Women's Balance Beam,Silver
20140,Fyodor Vasilyevich Shutkov,M,36.0,171.0,73.0,Tornado,1960 Summer,1960,Sailing,Sailing Mixed Two Person Keelboat,Gold
20141,Lyubov Andreyevna Shutova,F,33.0,177.0,64.0,Russia,2016 Summer,2016,Fencing,"Fencing Women's epee, Team",Bronze
20142,Andrey Mikhaylovich Shuvalov,M,23.0,186.0,82.0,Soviet Union,1988 Summer,1988,Fencing,"Fencing Men's epee, Individual",Bronze
20143,Andrey Mikhaylovich Shuvalov,M,23.0,186.0,82.0,Soviet Union,1988 Summer,1988,Fencing,"Fencing Men's epee, Team",Bronze
20144,Andrey Mikhaylovich Shuvalov,M,27.0,186.0,82.0,Unified Team,1992 Summer,1992,Fencing,"Fencing Men's epee, Team",Bronze
20145,Nadezhda Aleksandrovna Shuvayeva-Olkhova (-Baranova),F,23.0,175.0,67.0,Soviet Union,1976 Summer,1976,Basketball,Basketball Women's Basketball,Gold
20146,Nadezhda Aleksandrovna Shuvayeva-Olkhova (-Baranova),F,27.0,175.0,67.0,Soviet Union,1980 Summer,1980,Basketball,Basketball Women's Basketball,Gold
20147,Aleksey Viktorovich Shved,M,23.0,198.0,86.0,Russia,2012 Summer,2012,Basketball,Basketball Men's Basketball,Bronze
20148,Tatyana Ivanovna Shvyganova (-Nazirova),F,19.0,152.0,50.0,Soviet Union,1980 Summer,1980,Hockey,Hockey Women's Hockey,Bronze
20149,Carl Leslie Shy,M,27.0,183.0,77.0,United States,1936 Summer,1936,Basketball,Basketball Men's Basketball,Gold
20150,Yerkebulan Kurmakhanovich Shynaliyev,M,20.0,178.0,81.0,Kazakhstan,2008 Summer,2008,Boxing,Boxing Men's Light-Heavyweight,Bronze
20151,Tetiana Volodymyrivna Shynkarenko,F,25.0,175.0,67.0,Ukraine,2004 Summer,2004,Handball,Handball Women's Handball,Bronze
20152,Si Tianfeng,M,28.0,181.0,67.0,China,2012 Summer,2012,Athletics,Athletics Men's 50 kilometres Walk,Bronze
20153,Si Yajie,F,17.0,164.0,57.0,China,2016 Summer,2016,Diving,Diving Women's Platform,Silver
20154,Eduard Fyodorovich Sibiryakov,M,22.0,197.0,100.0,Soviet Union,1964 Summer,1964,Volleyball,Volleyball Men's Volleyball,Gold
20155,Eduard Fyodorovich Sibiryakov,M,26.0,197.0,100.0,Soviet Union,1968 Summer,1968,Volleyball,Volleyball Men's Volleyball,Gold
20156,"Sidnei ""Sido"" dos Santos Junior",M,30.0,203.0,98.0,Brazil,2012 Summer,2012,Volleyball,Volleyball Men's Volleyball,Silver
20157,Antonio Siddi,M,25.0,177.0,73.0,Italy,1948 Summer,1948,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze
20158,"Rashid ""Adul"" Sidek Mohamed",M,34.0,170.0,70.0,Malaysia,1996 Summer,1996,Badminton,Badminton Men's Singles,Bronze
20159,"Razif Haji ""Ajib"" Sidek Mohamed",M,24.0,180.0,68.0,Malaysia-2,1992 Summer,1992,Badminton,Badminton Men's Doubles,Bronze
20160,"Jalani Haji ""Alan"" Sidek Mohamed",M,28.0,178.0,69.0,Malaysia-2,1992 Summer,1992,Badminton,Badminton Men's Doubles,Bronze
20161,Cornelia Sideri,F,25.0,168.0,64.0,Romania,1964 Summer,1964,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Bronze
20162,Tatyana Ivanovna Sidorenko,F,22.0,185.0,78.0,Soviet Union,1988 Summer,1988,Volleyball,Volleyball Women's Volleyball,Gold
