,Name,Sex,Age,Height,Weight,Team,Games,Year,Sport,Event,Medal
0,Paavo Johannes Aaltonen,M,28.0,175.0,64.0,Finland,1948 Summer,1948,Gymnastics,Gymnastics Men's Individual All-Around,Bronze
1,Paavo Johannes Aaltonen,M,28.0,175.0,64.0,Finland,1948 Summer,1948,Gymnastics,Gymnastics Men's Team All-Around,Gold
2,Paavo Johannes Aaltonen,M,28.0,175.0,64.0,Finland,1948 Summer,1948,Gymnastics,Gymnastics Men's Horse Vault,Gold
3,Paavo Johannes Aaltonen,M,28.0,175.0,64.0,Finland,1948 Summer,1948,Gymnastics,Gymnastics Men's Pommelled Horse,Gold
4,Paavo Johannes Aaltonen,M,32.0,175.0,64.0,Finland,1952 Summer,1952,Gymnastics,Gymnastics Men's Team All-Around,Bronze
5,Pepijn Aardewijn,M,26.0,189.0,72.0,Netherlands,1996 Summer,1996,Rowing,Rowing Men's Lightweight Double Sculls,Silver
6,Ann Kristin Aarnes,F,23.0,182.0,64.0,Norway,1996 Summer,1996,Football,Football Women's Football,Bronze
7,Giovanni Abagnale,M,21.0,198.0,90.0,Italy,2016 Summer,2016,Rowing,Rowing Men's Coxless Pairs,Bronze
8,Jos Luis Abajo Gmez,M,30.0,194.0,87.0,Spain,2008 Summer,2008,Fencing,"Fencing Men's epee, Individual",Bronze
9,Patimat Abakarova,F,21.0,165.0,49.0,Azerbaijan,2016 Summer,2016,Taekwondo,Taekwondo Women's Flyweight,Bronze
10,Mariya Vasilyevna Abakumova (-Tarabina),F,22.0,179.0,80.0,Russia,2008 Summer,2008,Athletics,Athletics Women's Javelin Throw,Silver
11,Aleksey Aleksandrovich Abalmasov,M,28.0,180.0,83.0,Belarus,2008 Summer,2008,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Gold
12,Luc Abalo,M,23.0,182.0,86.0,France,2008 Summer,2008,Handball,Handball Men's Handball,Gold
13,Luc Abalo,M,27.0,182.0,86.0,France,2012 Summer,2012,Handball,Handball Men's Handball,Gold
14,Luc Abalo,M,31.0,182.0,86.0,France,2016 Summer,2016,Handball,Handball Men's Handball,Silver
15,Jouan Patrice Abanda Etong,M,22.0,185.0,82.0,Cameroon,2000 Summer,2000,Football,Football Men's Football,Gold
16,Jos Mara Abarca Plotas,M,22.0,186.0,83.0,Spain,1996 Summer,1996,Water Polo,Water Polo Men's Water Polo,Gold
17,Stephen Anthony Abas,M,26.0,165.0,55.0,United States,2004 Summer,2004,Wrestling,"Wrestling Men's Featherweight, Freestyle",Silver
18,Alejandro Abascal Garca,M,28.0,181.0,82.0,Spain,1980 Summer,1980,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,Gold
19,Jos Manuel Abascal Gmez,M,26.0,182.0,67.0,Spain,1984 Summer,1984,Athletics,"Athletics Men's 1,500 metres",Bronze
20,Tamila Rashidovna Abasova,F,21.0,163.0,60.0,Russia,2004 Summer,2004,Cycling,Cycling Women's Sprint,Silver
21,Jol Marc Abati,M,38.0,190.0,85.0,France,2008 Summer,2008,Handball,Handball Men's Handball,Gold
22,Pter Abay,M,30.0,181.0,79.0,Hungary,1992 Summer,1992,Fencing,"Fencing Men's Sabre, Team",Silver
23,Agostino Abbagnale,M,22.0,188.0,96.0,Italy,1988 Summer,1988,Rowing,Rowing Men's Quadruple Sculls,Gold
24,Agostino Abbagnale,M,29.0,188.0,96.0,Italy,1996 Summer,1996,Rowing,Rowing Men's Double Sculls,Gold
25,Agostino Abbagnale,M,34.0,188.0,96.0,Italy,2000 Summer,2000,Rowing,Rowing Men's Quadruple Sculls,Gold
26,Carmine Abbagnale,M,22.0,182.0,90.0,Italy,1984 Summer,1984,Rowing,Rowing Men's Coxed Pairs,Gold
27,Carmine Abbagnale,M,26.0,182.0,90.0,Italy,1988 Summer,1988,Rowing,Rowing Men's Coxed Pairs,Gold
28,Carmine Abbagnale,M,30.0,182.0,90.0,Italy,1992 Summer,1992,Rowing,Rowing Men's Coxed Pairs,Silver
29,Giuseppe Abbagnale,M,25.0,187.0,97.0,Italy,1984 Summer,1984,Rowing,Rowing Men's Coxed Pairs,Gold
30,Giuseppe Abbagnale,M,29.0,187.0,97.0,Italy,1988 Summer,1988,Rowing,Rowing Men's Coxed Pairs,Gold
31,Giuseppe Abbagnale,M,33.0,187.0,97.0,Italy,1992 Summer,1992,Rowing,Rowing Men's Coxed Pairs,Silver
32,"Desmond ""Des"" Abbott",M,21.0,184.0,87.0,Australia,2008 Summer,2008,Hockey,Hockey Men's Hockey,Bronze
33,Monica Cecilia Abbott,F,23.0,191.0,88.0,United States,2008 Summer,2008,Softball,Softball Women's Softball,Silver
34,Nia Nicole Abdallah,F,20.0,175.0,56.0,United States,2004 Summer,2004,Taekwondo,Taekwondo Women's Featherweight,Silver
35,Saeid Morad Abdevali,M,26.0,170.0,80.0,Iran,2016 Summer,2016,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",Bronze
36,Reema Abdo,F,21.0,173.0,59.0,Canada,1984 Summer,1984,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Bronze
37,Lala Abdul Rashid,M,38.0,169.0,91.0,Pakistan,1960 Summer,1960,Hockey,Hockey Men's Hockey,Gold
38,Muhammad Abdul Rashid,M,23.0,181.0,72.0,Pakistan,1964 Summer,1964,Hockey,Hockey Men's Hockey,Silver
39,Zagalav Abdulbekovich Abdulbekov,M,26.0,160.0,62.0,Soviet Union,1972 Summer,1972,Wrestling,"Wrestling Men's Featherweight, Freestyle",Gold
40,Mukhammad Kadyr Abdullayev,M,26.0,169.0,63.0,Uzbekistan,2000 Summer,2000,Boxing,Boxing Men's Light-Welterweight,Gold
41,Namiq Yadulla Abdullayev,M,25.0,167.0,55.0,Azerbaijan,1996 Summer,1996,Wrestling,"Wrestling Men's Flyweight, Freestyle",Silver
42,Namiq Yadulla Abdullayev,M,29.0,167.0,55.0,Azerbaijan,2000 Summer,2000,Wrestling,"Wrestling Men's Bantamweight, Freestyle",Gold
43,Julius Shareef Abdur-Rahim,M,23.0,202.0,104.0,United States,2000 Summer,2000,Basketball,Basketball Men's Basketball,Gold
44,Yusup Abdusalomov,M,30.0,170.0,84.0,Tajikistan,2008 Summer,2008,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Silver
45,Andrey Khakimovich Abduvaliyev,M,26.0,190.0,125.0,Unified Team,1992 Summer,1992,Athletics,Athletics Men's Hammer Throw,Gold
46,Addis Abebe,M,21.0,160.0,50.0,Ethiopia,1992 Summer,1992,Athletics,"Athletics Men's 10,000 metres",Bronze
47,Irene Abel,F,19.0,160.0,48.0,East Germany,1972 Summer,1972,Gymnastics,Gymnastics Women's Team All-Around,Silver
48,Jennifer Abel,F,20.0,160.0,62.0,Canada,2012 Summer,2012,Diving,Diving Women's Synchronized Springboard,Bronze
49,Gezahgne Abera,M,22.0,166.0,58.0,Ethiopia,2000 Summer,2000,Athletics,Athletics Men's Marathon,Gold
50,Nils Georg berg,M,19.0,181.0,78.0,Sweden,1912 Summer,1912,Athletics,Athletics Men's Long Jump,Bronze
51,Nils Georg berg,M,19.0,181.0,78.0,Sweden,1912 Summer,1912,Athletics,Athletics Men's Triple Jump,Silver
52,Michael Brent Abernathy,M,22.0,182.0,84.0,United States,2000 Summer,2000,Baseball,Baseball Men's Baseball,Gold
53,Elvan Abeylegesse,F,25.0,159.0,40.0,Turkey,2008 Summer,2008,Athletics,"Athletics Women's 5,000 metres",Silver
54,Ismail Abilov (-Nizamolu),M,29.0,172.0,82.0,Bulgaria,1980 Summer,1980,Wrestling,"Wrestling Men's Middleweight, Freestyle",Gold
55,"Edgar Allen ""Ed"" Ablowich",M,19.0,182.0,68.0,United States,1932 Summer,1932,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
56,Denis Mikhaylovich Ablyazin,M,19.0,161.0,62.0,Russia,2012 Summer,2012,Gymnastics,Gymnastics Men's Floor Exercise,Bronze
57,Denis Mikhaylovich Ablyazin,M,19.0,161.0,62.0,Russia,2012 Summer,2012,Gymnastics,Gymnastics Men's Horse Vault,Silver
58,Denis Mikhaylovich Ablyazin,M,24.0,161.0,62.0,Russia,2016 Summer,2016,Gymnastics,Gymnastics Men's Team All-Around,Silver
59,Denis Mikhaylovich Ablyazin,M,24.0,161.0,62.0,Russia,2016 Summer,2016,Gymnastics,Gymnastics Men's Horse Vault,Silver
60,Denis Mikhaylovich Ablyazin,M,24.0,161.0,62.0,Russia,2016 Summer,2016,Gymnastics,Gymnastics Men's Rings,Bronze
61,Viktor Andreyevich Aboimov,M,22.0,190.0,78.0,Soviet Union,1972 Summer,1972,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Silver
62,Viktor Andreyevich Aboimov,M,22.0,190.0,78.0,Soviet Union,1972 Summer,1972,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze
63,"Matthew ""Matt"" Abood",M,30.0,197.0,92.0,Australia,2016 Summer,2016,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Bronze
64,Alaaeldin Ahmad El-Sayyid Abouelkassem,M,21.0,188.0,87.0,Egypt,2012 Summer,2012,Fencing,"Fencing Men's Foil, Individual",Silver
65,Attila brahm,M,21.0,192.0,88.0,Hungary,1988 Summer,1988,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",Bronze
66,Attila brahm,M,21.0,192.0,88.0,Hungary,1988 Summer,1988,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Gold
67,Attila brahm,M,25.0,192.0,88.0,Hungary,1992 Summer,1992,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Silver
68,Gary Abraham,M,21.0,175.0,64.0,Great Britain,1980 Summer,1980,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Bronze
69,Ara Abrahamian,M,29.0,191.0,84.0,Sweden,2004 Summer,2004,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",Silver
70,Harold Maurice Abrahams,M,24.0,183.0,75.0,Great Britain,1924 Summer,1924,Athletics,Athletics Men's 100 metres,Gold
71,Harold Maurice Abrahams,M,24.0,183.0,75.0,Great Britain,1924 Summer,1924,Athletics,Athletics Men's 4 x 100 metres Relay,Silver
72,Erik Adolf Efraim Abrahamsson,M,22.0,172.0,61.0,Sweden,1920 Summer,1920,Athletics,Athletics Men's Long Jump,Bronze
73,Pavel Sergeyevich Abramov,M,25.0,198.0,89.0,Russia,2004 Summer,2004,Volleyball,Volleyball Men's Volleyball,Bronze
74,Nelli Mikhaylovna Abramova,F,24.0,171.0,60.0,Soviet Union,1964 Summer,1964,Volleyball,Volleyball Women's Volleyball,Silver
75,"Alejandro ""lex"" Abrines Redondo",M,23.0,198.0,93.0,Spain,2016 Summer,2016,Basketball,Basketball Men's Basketball,Bronze
76,Svetlana Olegovna Abrosimova,F,28.0,188.0,77.0,Russia,2008 Summer,2008,Basketball,Basketball Women's Basketball,Bronze
77,Saypulla Atavovich Absaidov,M,22.0,168.0,68.0,Soviet Union,1980 Summer,1980,Wrestling,"Wrestling Men's Lightweight, Freestyle",Gold
78,Julien Absalon,M,23.0,180.0,68.0,France,2004 Summer,2004,Cycling,"Cycling Men's Mountainbike, Cross-Country",Gold
79,Julien Absalon,M,27.0,180.0,68.0,France,2008 Summer,2008,Cycling,"Cycling Men's Mountainbike, Cross-Country",Gold
80,Ahmad Abughaush,M,20.0,178.0,68.0,Jordan,2016 Summer,2016,Taekwondo,Taekwondo Men's Featherweight,Gold
81,Ginko Abukawa-Chiba,F,26.0,148.0,46.0,Japan,1964 Summer,1964,Gymnastics,Gymnastics Women's Team All-Around,Bronze
82,Aleksandr Veniaminovich Abushakhmetov,M,25.0,189.0,81.0,Soviet Union,1980 Summer,1980,Fencing,"Fencing Men's epee, Team",Bronze
83,Magomedgasan Mingazhutdinovich Abushev,M,20.0,170.0,62.0,Soviet Union,1980 Summer,1980,Wrestling,"Wrestling Men's Featherweight, Freestyle",Gold
84,Andreea Roxana Acatrinei,F,16.0,150.0,40.0,Romania,2008 Summer,2008,Gymnastics,Gymnastics Women's Team All-Around,Bronze
85,William Accambray,M,24.0,194.0,104.0,France,2012 Summer,2012,Handball,Handball Men's Handball,Gold
86,Anibl Santiago Acevedo,M,21.0,176.0,67.0,Puerto Rico,1992 Summer,1992,Boxing,Boxing Men's Welterweight,Bronze
87,Daniel Aceves Villagrn,M,19.0,158.0,52.0,Mexico,1984 Summer,1984,Wrestling,"Wrestling Men's Flyweight, Greco-Roman",Silver
88,Joachim Yaw Acheampong,M,18.0,181.0,73.0,Ghana,1992 Summer,1992,Football,Football Men's Football,Bronze
89,Alfred Achermann,M,24.0,176.0,75.0,Switzerland,1984 Summer,1984,Cycling,Cycling Men's 100 kilometres Team Time Trial,Silver
90,Abdel Hak Achik,M,29.0,165.0,54.0,Morocco,1988 Summer,1988,Boxing,Boxing Men's Featherweight,Bronze
91,Mohamed Abdelhak Achik,M,27.0,174.0,57.0,Morocco,1992 Summer,1992,Boxing,Boxing Men's Bantamweight,Bronze
92,Chantal Achterberg,F,27.0,172.0,72.0,Netherlands,2012 Summer,2012,Rowing,Rowing Women's Coxed Eights,Bronze
93,Chantal Achterberg,F,31.0,172.0,72.0,Netherlands,2016 Summer,2016,Rowing,Rowing Women's Quadruple Sculls,Silver
94,Paul Douglas Ackerley,M,27.0,179.0,68.0,New Zealand,1976 Summer,1976,Hockey,Hockey Men's Hockey,Gold
95,Lautaro Germn Acosta,M,20.0,168.0,72.0,Argentina,2008 Summer,2008,Football,Football Men's Football,Gold
96,Osmay Acosta Duarte,M,23.0,188.0,91.0,Cuba,2008 Summer,2008,Boxing,Boxing Men's Heavyweight,Bronze
97,Kazimierz Piotr Adach,M,23.0,162.0,60.0,Poland,1980 Summer,1980,Boxing,Boxing Men's Lightweight,Bronze
98,Ji Adam,M,25.0,187.0,83.0,Czechoslovakia,1976 Summer,1976,Modern Pentathlon,Modern Pentathlon Men's Team,Silver
99,Dariusz Adamczuk,M,22.0,179.0,78.0,Poland,1992 Summer,1992,Football,Football Men's Football,Silver
100,"Benjamin Willard ""Ben"" Adams",M,22.0,188.0,78.0,United States,1912 Summer,1912,Athletics,Athletics Men's Standing High Jump,Silver
101,"Benjamin Willard ""Ben"" Adams",M,22.0,188.0,78.0,United States,1912 Summer,1912,Athletics,Athletics Men's Standing Long Jump,Bronze
102,Adrian Neil Adams,M,21.0,178.0,78.0,Great Britain,1980 Summer,1980,Judo,Judo Men's Lightweight,Silver
103,Adrian Neil Adams,M,25.0,178.0,78.0,Great Britain,1984 Summer,1984,Judo,Judo Men's Half-Middleweight,Silver
104,Nicola Virginia Adams,F,29.0,164.0,51.0,Great Britain,2012 Summer,2012,Boxing,Boxing Women's Flyweight,Gold
105,Nicola Virginia Adams,F,33.0,164.0,51.0,Great Britain,2016 Summer,2016,Boxing,Boxing Women's Flyweight,Gold
106,Platt Adams,M,27.0,188.0,78.0,United States,1912 Summer,1912,Athletics,Athletics Men's Standing High Jump,Gold
107,Platt Adams,M,27.0,188.0,78.0,United States,1912 Summer,1912,Athletics,Athletics Men's Standing Long Jump,Silver
108,Rachael Alexis Adams,F,26.0,188.0,81.0,United States,2016 Summer,2016,Volleyball,Volleyball Women's Volleyball,Bronze
109,Valerie Kasanita Adams-Vili (-Price),F,23.0,193.0,120.0,New Zealand,2008 Summer,2008,Athletics,Athletics Women's Shot Put,Gold
110,Valerie Kasanita Adams-Vili (-Price),F,27.0,193.0,120.0,New Zealand,2012 Summer,2012,Athletics,Athletics Women's Shot Put,Gold
111,Valerie Kasanita Adams-Vili (-Price),F,31.0,193.0,120.0,New Zealand,2016 Summer,2016,Athletics,Athletics Women's Shot Put,Silver
112,Filip Kamil Adamski,M,29.0,189.0,87.0,Germany,2012 Summer,2012,Rowing,Rowing Men's Coxed Eights,Gold
113,Jerzy Adamski,M,23.0,171.0,58.0,Poland,1960 Summer,1960,Boxing,Boxing Men's Featherweight,Silver
114,Simon Addo,M,17.0,180.0,79.0,Ghana,1992 Summer,1992,Football,Football Men's Football,Bronze
115,Olubayo Adefemi,M,22.0,181.0,82.0,Nigeria,2008 Summer,2008,Football,Football Men's Football,Silver
116,"Ayodele ""Dele"" Adeleye",M,19.0,190.0,80.0,Nigeria,2008 Summer,2008,Football,Football Men's Football,Silver
117,Ademir Roque Kaefer,M,24.0,179.0,74.0,Brazil,1984 Summer,1984,Football,Football Men's Football,Silver
118,Ademir Roque Kaefer,M,28.0,179.0,74.0,Brazil,1988 Summer,1988,Football,Football Men's Football,Silver
119,Olapade Charles Adeniken,M,22.0,186.0,78.0,Nigeria,1992 Summer,1992,Athletics,Athletics Men's 4 x 100 metres Relay,Silver
120,Adenzia Aparecida Ferreira da Silva,F,25.0,187.0,65.0,Brazil,2012 Summer,2012,Volleyball,Volleyball Women's Volleyball,Gold
121,Franck Adisson,M,23.0,180.0,70.0,France-1,1992 Summer,1992,Canoeing,"Canoeing Men's Canadian Doubles, Slalom",Bronze
122,Franck Adisson,M,26.0,180.0,70.0,France-1,1996 Summer,1996,Canoeing,"Canoeing Men's Canadian Doubles, Slalom",Gold
123,Derrick Ralph Adkins,M,26.0,188.0,80.0,United States,1996 Summer,1996,Athletics,Athletics Men's 400 metres Hurdles,Gold
124,Daniel Adler,M,26.0,180.0,72.0,Brazil,1984 Summer,1984,Sailing,Sailing Mixed Three Person Keelboat,Silver
125,Egon Adler,M,23.0,172.0,62.0,Germany,1960 Summer,1960,Cycling,Cycling Men's 100 kilometres Team Time Trial,Silver
126,"Rebecca ""Becky"" Adlington",F,19.0,179.0,70.0,Great Britain,2008 Summer,2008,Swimming,Swimming Women's 400 metres Freestyle,Gold
127,"Rebecca ""Becky"" Adlington",F,19.0,179.0,70.0,Great Britain,2008 Summer,2008,Swimming,Swimming Women's 800 metres Freestyle,Gold
128,"Rebecca ""Becky"" Adlington",F,23.0,179.0,70.0,Great Britain,2012 Summer,2012,Swimming,Swimming Women's 400 metres Freestyle,Bronze
129,"Rebecca ""Becky"" Adlington",F,23.0,179.0,70.0,Great Britain,2012 Summer,2012,Swimming,Swimming Women's 800 metres Freestyle,Bronze
130,Dainius Adomaitis,M,26.0,202.0,100.0,Lithuania,2000 Summer,2000,Basketball,Basketball Men's Basketball,Bronze
131,Nathan Ghar-Jun Adrian,M,19.0,198.0,100.0,United States,2008 Summer,2008,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
132,Nathan Ghar-Jun Adrian,M,23.0,198.0,100.0,United States,2012 Summer,2012,Swimming,Swimming Men's 100 metres Freestyle,Gold
133,Nathan Ghar-Jun Adrian,M,23.0,198.0,100.0,United States,2012 Summer,2012,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Silver
134,Nathan Ghar-Jun Adrian,M,23.0,198.0,100.0,United States,2012 Summer,2012,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
135,Nathan Ghar-Jun Adrian,M,27.0,198.0,100.0,United States,2016 Summer,2016,Swimming,Swimming Men's 50 metres Freestyle,Bronze
136,Nathan Ghar-Jun Adrian,M,27.0,198.0,100.0,United States,2016 Summer,2016,Swimming,Swimming Men's 100 metres Freestyle,Bronze
137,Nathan Ghar-Jun Adrian,M,27.0,198.0,100.0,United States,2016 Summer,2016,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
138,Nathan Ghar-Jun Adrian,M,27.0,198.0,100.0,United States,2016 Summer,2016,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
139,Adriana Aparecida dos Santos,F,25.0,180.0,61.0,Brazil,1996 Summer,1996,Basketball,Basketball Women's Basketball,Silver
140,Adriana Aparecida dos Santos,F,29.0,180.0,61.0,Brazil,2000 Summer,2000,Basketball,Basketball Women's Basketball,Bronze
141,"Adriana ""Adrianinha"" Moiss Pinto",F,21.0,170.0,65.0,Brazil,2000 Summer,2000,Basketball,Basketball Women's Basketball,Bronze
142,Attila Adrovicz,M,30.0,189.0,87.0,Hungary,1996 Summer,1996,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Silver
143,Klaus Aeffke,M,24.0,189.0,82.0,Germany,1964 Summer,1964,Rowing,Rowing Men's Coxed Eights,Silver
144,Kseniya Dmitriyevna Afanasyeva,F,20.0,158.0,48.0,Russia,2012 Summer,2012,Gymnastics,Gymnastics Women's Team All-Around,Silver
145,"Olabisi ""Bisi"" Afolabi",F,20.0,180.0,62.0,Nigeria,1996 Summer,1996,Athletics,Athletics Women's 4 x 400 metres Relay,Silver
146,Felicia Afrsiloaie (-Jitianu),F,22.0,178.0,70.0,Romania,1976 Summer,1976,Rowing,Rowing Women's Coxed Quadruple Sculls,Bronze
147,Cecil Sebastian Afrika,M,28.0,175.0,75.0,South Africa,2016 Summer,2016,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,Bronze
148,Muhammad Afzal Manna,M,25.0,173.0,76.0,Pakistan,1964 Summer,1964,Hockey,Hockey Men's Hockey,Silver
149,"Timothy Ernest Victor Kwizera ""Tim"" Agaba",M,27.0,193.0,104.0,South Africa,2016 Summer,2016,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,Bronze
150,Lavinia Agache (-Carney),F,16.0,148.0,40.0,Romania,1984 Summer,1984,Gymnastics,Gymnastics Women's Team All-Around,Gold
151,Lavinia Agache (-Carney),F,16.0,148.0,40.0,Romania,1984 Summer,1984,Gymnastics,Gymnastics Women's Horse Vault,Bronze
152,Luca Agamennoni,M,24.0,187.0,93.0,Italy,2004 Summer,2004,Rowing,Rowing Men's Coxless Fours,Bronze
153,Luca Agamennoni,M,27.0,187.0,93.0,Italy,2008 Summer,2008,Rowing,Rowing Men's Quadruple Sculls,Silver
154,Andre Kirk Agassi,M,26.0,180.0,80.0,United States,1996 Summer,1996,Tennis,Tennis Men's Singles,Gold
155,Clarisse Agbegnenou,F,23.0,164.0,66.0,France,2016 Summer,2016,Judo,Judo Women's Half-Middleweight,Silver
156,Viktor Ivanovich Ageyev,M,20.0,184.0,80.0,Soviet Union,1956 Summer,1956,Water Polo,Water Polo Men's Water Polo,Bronze
157,Viktor Ivanovich Ageyev,M,24.0,184.0,80.0,Soviet Union,1960 Summer,1960,Water Polo,Water Polo Men's Water Polo,Silver
158,Viktor Ivanovich Ageyev,M,28.0,184.0,80.0,Soviet Union,1964 Summer,1964,Water Polo,Water Polo Men's Water Polo,Bronze
159,Marilyn Agliotti,F,29.0,172.0,58.0,Netherlands,2008 Summer,2008,Hockey,Hockey Women's Hockey,Gold
160,Marilyn Agliotti,F,33.0,172.0,58.0,Netherlands,2012 Summer,2012,Hockey,Hockey Women's Hockey,Gold
161,Yannick Agnel,M,20.0,202.0,90.0,France,2012 Summer,2012,Swimming,Swimming Men's 200 metres Freestyle,Gold
162,Yannick Agnel,M,20.0,202.0,90.0,France,2012 Summer,2012,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
163,Yannick Agnel,M,20.0,202.0,90.0,France,2012 Summer,2012,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Silver
164,Judit goston-Mendelnyi,F,27.0,164.0,62.0,Hungary,1964 Summer,1964,Fencing,"Fencing Women's Foil, Team",Gold
165,Sergio Leonel Agero del Castillo,M,20.0,172.0,74.0,Argentina,2008 Summer,2008,Football,Football Men's Football,Gold
166,"Taismary ""Tai"" Agero Leiva (-Botteghi)",F,23.0,175.0,70.0,Cuba,2000 Summer,2000,Volleyball,Volleyball Women's Volleyball,Gold
167,Jos Aguilar Pulsn,M,20.0,173.0,64.0,Cuba,1980 Summer,1980,Boxing,Boxing Men's Light-Welterweight,Bronze
168,Macarena Aguilar Daz,F,27.0,170.0,67.0,Spain,2012 Summer,2012,Handball,Handball Women's Handball,Bronze
169,Sandra Aguilar Navarro,F,23.0,167.0,50.0,Spain,2016 Summer,2016,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Silver
170,Jorge Luis Aguilera Ruiz,M,26.0,172.0,64.0,Cuba,1992 Summer,1992,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze
171,Sri Wahyuni Agustiani,F,21.0,147.0,47.0,Indonesia,2016 Summer,2016,Weightlifting,Weightlifting Women's Flyweight,Silver
172,Robyn Mokihana Ah Mow-Santos,F,32.0,172.0,67.0,United States,2008 Summer,2008,Volleyball,Volleyball Women's Volleyball,Silver
173,"Timothy Joseph ""Tim"" Ahearne",M,22.0,170.0,57.0,Great Britain,1908 Summer,1908,Athletics,Athletics Men's Triple Jump,Gold
174,Bruno Valfrid Ahlberg,M,21.0,168.0,69.5,Finland,1932 Summer,1932,Boxing,Boxing Men's Welterweight,Bronze
175,Christian Ahlmann,M,29.0,189.0,80.0,Germany,2004 Summer,2004,Equestrianism,"Equestrianism Mixed Jumping, Team",Bronze
176,Christian Ahlmann,M,41.0,189.0,80.0,Germany,2016 Summer,2016,Equestrianism,"Equestrianism Mixed Jumping, Team",Bronze
177,Tontowi Ahmad,M,29.0,179.0,72.0,Indonesia-1,2016 Summer,2016,Badminton,Badminton Mixed Doubles,Gold
178,Arne Per hman,M,23.0,176.0,64.0,Sweden,1948 Summer,1948,Athletics,Athletics Men's Triple Jump,Gold
179,Jrg Ahmann,M,34.0,190.0,88.0,Germany-1,2000 Summer,2000,Beach Volleyball,Beach Volleyball Men's Beach Volleyball,Bronze
180,"Christine M. ""Crissy"" Ahmann-Leighton (-Perham)",F,22.0,172.0,52.0,United States,1992 Summer,1992,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
181,"Christine M. ""Crissy"" Ahmann-Leighton (-Perham)",F,22.0,172.0,52.0,United States,1992 Summer,1992,Swimming,Swimming Women's 100 metres Butterfly,Silver
182,"Christine M. ""Crissy"" Ahmann-Leighton (-Perham)",F,22.0,172.0,52.0,United States,1992 Summer,1992,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold
183,Muhammad Ashfaq Ahmed,M,21.0,162.0,62.0,Pakistan,1968 Summer,1968,Hockey,Hockey Men's Hockey,Gold
184,Bashir Ahmed,M,25.0,171.0,67.0,Pakistan,1960 Summer,1960,Hockey,Hockey Men's Hockey,Gold
185,Ishtiaq Ahmed,M,21.0,170.0,62.0,Pakistan,1984 Summer,1984,Hockey,Hockey Men's Hockey,Gold
186,Manzoor Ahmed,M,24.0,169.0,75.0,Pakistan,1992 Summer,1992,Hockey,Hockey Men's Hockey,Bronze
187,Mushtaq Ahmed,M,28.0,170.0,70.0,Pakistan,1984 Summer,1984,Hockey,Hockey Men's Hockey,Gold
188,Mushtaq Ahmed,M,27.0,173.0,61.0,Pakistan,1960 Summer,1960,Hockey,Hockey Men's Hockey,Gold
189,Riaz Ahmed,M,27.0,150.0,70.0,Pakistan,1968 Summer,1968,Hockey,Hockey Men's Hockey,Gold
190,Riaz Ahmed,M,30.0,150.0,70.0,Pakistan,1972 Summer,1972,Hockey,Hockey Men's Hockey,Silver
191,Shahbaz Ahmed,M,23.0,175.0,61.0,Pakistan,1992 Summer,1992,Hockey,Hockey Men's Hockey,Bronze
192,Peter Ahrendt,M,30.0,169.0,66.0,Mutafo,1964 Summer,1964,Sailing,Sailing Mixed Three Person Keelboat,Silver
193,Brigitte Ahrenholz,F,23.0,178.0,85.0,East Germany,1976 Summer,1976,Rowing,Rowing Women's Coxed Eights,Gold
194,"Christian ""Chris"" Ahrens",M,28.0,195.0,97.0,United States,2004 Summer,2004,Rowing,Rowing Men's Coxed Eights,Gold
195,Marlene Ahrens Ostertag (-Ebensperger),F,23.0,176.0,70.0,Chile,1956 Summer,1956,Athletics,Athletics Women's Javelin Throw,Silver
196,Thomas Ahrens,M,16.0,163.0,50.0,Germany,1964 Summer,1964,Rowing,Rowing Men's Coxed Eights,Silver
197,Matteo Aicardi,M,26.0,192.0,102.0,Italy,2012 Summer,2012,Water Polo,Water Polo Men's Water Polo,Silver
